mode,rho,n,feature_idx,label,feat_type,is_true_pair,S_dir,lynn_metric
binary,0.5,1,267,x_8*x_24*,PRODUCT,True,0.5299766063690186,0.12942078173747462
binary,0.5,2,288,x_9*x_23*,PRODUCT,True,0.49019908905029297,0.1947623072229372
binary,0.5,3,471,x_20*x_30*,PRODUCT,True,0.4666360914707184,0.23346864966565337
binary,0.5,4,167,x_4*x_22*,PRODUCT,True,0.45079928636550903,0.2594833703959288
binary,0.5,5,106,x_2*x_16*,PRODUCT,True,0.4404526352882385,0.27647955343162556
binary,0.5,6,332,x_11*x_26*,PRODUCT,True,0.4327607750892639,0.2891147783803006
binary,0.5,7,391,x_14*x_31*,PRODUCT,True,0.42675721645355225,0.2989766728885874
binary,0.5,8,18,x_18,LINEAR,False,0.42079785466194153,0.30876596635463066
binary,0.5,9,209,x_6*x_13*,PRODUCT,True,0.41617077589035034,0.3163667520712103
binary,0.5,10,31,x_31,LINEAR,False,0.4120022654533386,0.32321425913842977
binary,0.5,11,305,x_10*x_19*,PRODUCT,True,0.4081336557865143,0.32956912676660904
binary,0.5,12,429,x_17*x_24*,PRODUCT,True,0.404369056224823,0.3357531396156717
binary,0.5,13,399,x_15*x_23*,PRODUCT,True,0.4010047912597656,0.3412795329094699
binary,0.5,14,482,x_21*x_31*,PRODUCT,True,0.3978250324726105,0.34650284255355146
binary,0.5,15,339,x_12*x_14*,PRODUCT,True,0.3949626386165619,0.351204824821469
binary,0.5,16,14,x_14,LINEAR,False,0.3915252387523651,0.3568513549714139
binary,0.5,17,12,x_12,LINEAR,False,0.3877805471420288,0.3630026655303763
binary,0.5,18,259,x_8*x_16*,PRODUCT,True,0.3851386606693268,0.36734242587546184
binary,0.5,19,386,x_14*x_26*,PRODUCT,True,0.3825840651988983,0.3715387954904521
binary,0.5,20,444,x_18*x_26*,PRODUCT,True,0.38056647777557373,0.3748530355166453
binary,0.5,21,446,x_18*x_28*,PRODUCT,True,0.37847745418548584,0.37828462193411133
binary,0.5,22,458,x_19*x_28*,PRODUCT,True,0.37623414397239685,0.38196965109985437
binary,0.5,23,257,x_8*x_14*,PRODUCT,True,0.37429675459861755,0.38515215181068857
binary,0.5,24,273,x_8*x_30*,PRODUCT,True,0.3719646632671356,0.388983019482732
binary,0.5,25,466,x_20*x_25*,PRODUCT,True,0.36944252252578735,0.393126076531975
binary,0.5,26,350,x_12*x_25*,PRODUCT,True,0.367048978805542,0.3970578904947171
binary,0.5,27,84,x_1*x_23*,PRODUCT,True,0.3652847707271576,0.3999559106549936
binary,0.5,28,499,x_23*x_31*,PRODUCT,True,0.36357444524765015,0.4027654192276933
binary,0.5,29,377,x_14*x_17*,PRODUCT,True,0.36187654733657837,0.40555451334684245
binary,0.5,30,331,x_11*x_25*,PRODUCT,True,0.3600581884384155,0.40854148569441256
gaussian,0.5,1,267,x_8*x_24*,PRODUCT,True,0.44855421781539917,0.2653463287773134
gaussian,0.5,2,498,x_23*x_30,PRODUCT,False,0.38567858934402466,0.36832565536105993
gaussian,0.5,3,411,x_16*x_20,PRODUCT,False,0.3539879620075226,0.42022938247235586
gaussian,0.5,4,328,x_11*x_22,PRODUCT,False,0.3345526456832886,0.45206104500472977
gaussian,0.5,5,300,x_10*x_14,PRODUCT,False,0.31410402059555054,0.48555233077466003
gaussian,0.5,6,108,x_2*x_18*,PRODUCT,True,0.2959275245666504,0.5153222649481285
gaussian,0.5,7,431,x_17*x_26*,PRODUCT,True,0.2829204499721527,0.5366255873185084
gaussian,0.5,8,339,x_12*x_14*,PRODUCT,True,0.27379971742630005,0.5515637584089171
gaussian,0.5,9,278,x_9*x_13,PRODUCT,False,0.2644764482975006,0.5668336491405845
gaussian,0.5,10,168,x_4*x_23*,PRODUCT,True,0.2575537860393524,0.5781717640007068
gaussian,0.5,11,482,x_21*x_31*,PRODUCT,True,0.25087738037109375,0.5891065534641664
gaussian,0.5,12,305,x_10*x_19*,PRODUCT,True,0.24544569849967957,0.5980027021776545
gaussian,0.5,13,221,x_6*x_25*,PRODUCT,True,0.23969249427318573,0.6074254484999888
gaussian,0.5,14,388,x_14*x_28,PRODUCT,False,0.23421745002269745,0.6163926172367304
gaussian,0.5,15,91,x_1*x_30*,PRODUCT,True,0.22928079962730408,0.6244779906263331
gaussian,0.5,16,400,x_15*x_24,PRODUCT,False,0.22552773356437683,0.6306248590582013
gaussian,0.5,17,259,x_8*x_16*,PRODUCT,True,0.222102090716362,0.6362354653007393
gaussian,0.5,18,465,x_20*x_24,PRODUCT,False,0.21787019073963165,0.6431665802711745
gaussian,0.5,19,319,x_11*x_13*,PRODUCT,True,0.2154453843832016,0.6471379906849064
gaussian,0.5,20,288,x_9*x_23*,PRODUCT,True,0.21214734017848969,0.6525396125772313
gaussian,0.5,21,167,x_4*x_22*,PRODUCT,True,0.20892246067523956,0.6578214034337571
gaussian,0.5,22,128,x_3*x_10*,PRODUCT,True,0.20619533956050873,0.6622879527587496
gaussian,0.5,23,391,x_14*x_31*,PRODUCT,True,0.20326058566570282,0.667094568408146
gaussian,0.5,24,241,x_7*x_21*,PRODUCT,True,0.20059911906719208,0.6714535870725009
gaussian,0.5,25,51,x_0*x_20*,PRODUCT,True,0.1980564445257187,0.67561804504085
gaussian,0.5,26,442,x_18*x_24*,PRODUCT,True,0.19603152573108673,0.6789345092882476
gaussian,0.5,27,112,x_2*x_22*,PRODUCT,True,0.1936163604259491,0.6828901293394211
gaussian,0.5,28,273,x_8*x_30*,PRODUCT,True,0.1908828467130661,0.6873671486266045
gaussian,0.5,29,446,x_18*x_28*,PRODUCT,True,0.18875886499881744,0.6908458606797031
gaussian,0.5,30,459,x_19*x_29*,PRODUCT,True,0.1866665780544281,0.6942726622209596
uniform,0.5,1,267,x_8*x_24*,PRODUCT,True,0.5998607873916626,0.019237056801157504
uniform,0.5,2,8,x_8,LINEAR,False,0.57535320520401,0.059306567831482526
uniform,0.5,3,24,x_24,LINEAR,False,0.5070072412490845,0.17105114286140294
uniform,0.5,4,492,x_23*x_24,PRODUCT,False,0.4995397627353668,0.18326035266361984
uniform,0.5,5,23,x_23,LINEAR,False,0.483979195356369,0.20870163534327163
uniform,0.5,6,273,x_8*x_30*,PRODUCT,True,0.47816213965415955,0.21821242983286968
uniform,0.5,7,30,x_30,LINEAR,False,0.4647781252861023,0.24009508260720547
uniform,0.5,8,106,x_2*x_16*,PRODUCT,True,0.46155333518981934,0.24536756364364956
uniform,0.5,9,16,x_16,LINEAR,False,0.45831575989723206,0.25066094827476154
uniform,0.5,10,2,x_2,LINEAR,False,0.4483337104320526,0.2669814419933044
uniform,0.5,11,257,x_8*x_14*,PRODUCT,True,0.4459935426712036,0.270807579438776
uniform,0.5,12,14,x_14,LINEAR,False,0.44104382395744324,0.27890029160758195
uniform,0.5,13,441,x_18*x_23*,PRODUCT,True,0.4383971691131592,0.2832275306091483
uniform,0.5,14,18,x_18,LINEAR,False,0.4319671094417572,0.2937405769372638
uniform,0.5,15,263,x_8*x_20*,PRODUCT,True,0.42980730533599854,0.29727182264630153
uniform,0.5,16,20,x_20,LINEAR,False,0.4242304265499115,0.30638993165937606
uniform,0.5,17,319,x_11*x_13*,PRODUCT,True,0.42240118980407715,0.30938070493937814
uniform,0.5,18,300,x_10*x_14,PRODUCT,False,0.4207321107387543,0.3121096229332606
uniform,0.5,19,10,x_10,LINEAR,False,0.41782844066619873,0.31685707778661243
uniform,0.5,20,471,x_20*x_30*,PRODUCT,True,0.41532382369041443,0.3209520871094207
uniform,0.5,21,13,x_13,LINEAR,False,0.4134630262851715,0.3239944615706659
uniform,0.5,22,11,x_11,LINEAR,False,0.40666499733924866,0.33510913186932806
uniform,0.5,23,167,x_4*x_22*,PRODUCT,True,0.40543630719184875,0.33711802091587373
uniform,0.5,24,22,x_22,LINEAR,False,0.40405428409576416,0.3393776069194504
uniform,0.5,25,4,x_4,LINEAR,False,0.40012577176094055,0.345800662736531
uniform,0.5,26,304,x_10*x_18*,PRODUCT,True,0.39868485927581787,0.34815653196403257
uniform,0.5,27,442,x_18*x_24*,PRODUCT,True,0.3967803716659546,0.35127033922197504
uniform,0.5,28,339,x_12*x_14*,PRODUCT,True,0.3952704966068268,0.3537389611722307
uniform,0.5,29,12,x_12,LINEAR,False,0.39148956537246704,0.35992072421356436
uniform,0.5,30,112,x_2*x_22*,PRODUCT,True,0.3902376592159271,0.3619675710695419
lognormal,0.5,1,267,x_8*x_24*,PRODUCT,True,0.515746533870697,0.15688290727592646
lognormal,0.5,2,483,x_22*x_23,PRODUCT,False,0.49112677574157715,0.19713007819069503
lognormal,0.5,3,471,x_20*x_30*,PRODUCT,True,0.47899705171585083,0.21695915504238683
lognormal,0.5,4,300,x_10*x_14,PRODUCT,False,0.47209781408309937,0.22823768973515954
lognormal,0.5,5,332,x_11*x_26*,PRODUCT,True,0.46260368824005127,0.2437582201760952
lognormal,0.5,6,281,x_9*x_16*,PRODUCT,True,0.4558575749397278,0.25478643473387236
lognormal,0.5,7,108,x_2*x_18*,PRODUCT,True,0.45217445492744446,0.2608074183624094
lognormal,0.5,8,339,x_12*x_14*,PRODUCT,True,0.44868990778923035,0.2665037848131583
lognormal,0.5,9,168,x_4*x_23*,PRODUCT,True,0.44561460614204407,0.2715311368431679
lognormal,0.5,10,365,x_13*x_22*,PRODUCT,True,0.44314268231391907,0.2755721164611261
lognormal,0.5,11,482,x_21*x_31*,PRODUCT,True,0.4404650032520294,0.27994945462560233
lognormal,0.5,12,429,x_17*x_24*,PRODUCT,True,0.4382004141807556,0.28365149357030955
lognormal,0.5,13,305,x_10*x_19*,PRODUCT,True,0.43607187271118164,0.2871311285803623
lognormal,0.5,14,388,x_14*x_28,PRODUCT,False,0.4341927170753479,0.2902030798828163
lognormal,0.5,15,24,x_24,LINEAR,False,0.4324789345264435,0.2930046873882499
lognormal,0.5,16,17,x_17,LINEAR,False,0.4295322895050049,0.29782171788794115
lognormal,0.5,17,46,x_0*x_15*,PRODUCT,True,0.42763614654541016,0.3009214392326192
lognormal,0.5,18,221,x_6*x_25*,PRODUCT,True,0.426067054271698,0.30348651418542477
lognormal,0.5,19,8,x_8,LINEAR,False,0.42465755343437195,0.30579069689944066
lognormal,0.5,20,73,x_1*x_12*,PRODUCT,True,0.4233054518699646,0.3080010461023625
lognormal,0.5,21,14,x_14,LINEAR,False,0.42181116342544556,0.31044383543063736
lognormal,0.5,22,386,x_14*x_26*,PRODUCT,True,0.42008134722709656,0.3132716539583808
lognormal,0.5,23,431,x_17*x_26*,PRODUCT,True,0.4174262285232544,0.3176121115580085
lognormal,0.5,24,259,x_8*x_16*,PRODUCT,True,0.41595974564552307,0.320009445711906
lognormal,0.5,25,16,x_16,LINEAR,False,0.41348952054977417,0.32404764832564187
lognormal,0.5,26,377,x_14*x_17*,PRODUCT,True,0.4115195870399475,0.3272679988361916
lognormal,0.5,27,26,x_26,LINEAR,False,0.40969452261924744,0.33025152447787937
lognormal,0.5,28,128,x_3*x_10*,PRODUCT,True,0.408200740814209,0.3326934855768247
lognormal,0.5,29,135,x_3*x_17*,PRODUCT,True,0.4065726101398468,0.3353550736062021
lognormal,0.5,30,10,x_10,LINEAR,False,0.4046727120876312,0.33846093359179286
half_normal,0.5,1,267,x_8*x_24*,PRODUCT,True,0.5518316030502319,0.09673191365808141
half_normal,0.5,2,471,x_20*x_30*,PRODUCT,True,0.5294082164764404,0.13343573665020175
half_normal,0.5,3,288,x_9*x_23*,PRODUCT,True,0.5169804692268372,0.1537781516435459
half_normal,0.5,4,319,x_11*x_13*,PRODUCT,True,0.5101882815361023,0.16489597516719565
half_normal,0.5,5,112,x_2*x_22*,PRODUCT,True,0.505725622177124,0.17220069957387887
half_normal,0.5,6,279,x_9*x_14*,PRODUCT,True,0.5025931000709534,0.17732818272747955
half_normal,0.5,7,281,x_9*x_16*,PRODUCT,True,0.49907687306404114,0.18308373500488015
half_normal,0.5,8,14,x_14,LINEAR,False,0.49516788125038147,0.18948218615471252
half_normal,0.5,9,257,x_8*x_14*,PRODUCT,True,0.4921525716781616,0.19441780943538853
half_normal,0.5,10,24,x_24,LINEAR,False,0.48784568905830383,0.20146754997332597
half_normal,0.5,11,442,x_18*x_24*,PRODUCT,True,0.48477405309677124,0.20649537136227242
half_normal,0.5,12,429,x_17*x_24*,PRODUCT,True,0.48255330324172974,0.2101304159315209
half_normal,0.5,13,377,x_14*x_17*,PRODUCT,True,0.4776723384857178,0.21811984544279872
half_normal,0.5,14,151,x_4*x_6*,PRODUCT,True,0.4754885733127594,0.2216943514658231
half_normal,0.5,15,304,x_10*x_18*,PRODUCT,True,0.4732925593852997,0.22528890691874118
half_normal,0.5,16,10,x_10,LINEAR,False,0.4710772931575775,0.22891497558750196
half_normal,0.5,17,303,x_10*x_17*,PRODUCT,True,0.4688105285167694,0.23262533966953858
half_normal,0.5,18,431,x_17*x_26*,PRODUCT,True,0.4657882750034332,0.2375723291720278
half_normal,0.5,19,386,x_14*x_26*,PRODUCT,True,0.4607205390930176,0.2458674759026341
half_normal,0.5,20,23,x_23,LINEAR,False,0.4588301181793213,0.2489618200316342
half_normal,0.5,21,441,x_18*x_23*,PRODUCT,True,0.45568177103996277,0.25411520646327274
half_normal,0.5,22,18,x_18,LINEAR,False,0.4537331163883209,0.2573048707528868
half_normal,0.5,23,444,x_18*x_26*,PRODUCT,True,0.45172592997550964,0.2605903430237935
half_normal,0.5,24,305,x_10*x_19*,PRODUCT,True,0.4500505328178406,0.26333272453312634
half_normal,0.5,25,19,x_19,LINEAR,False,0.4480551481246948,0.26659887910515734
half_normal,0.5,26,399,x_15*x_23*,PRODUCT,True,0.44654029607772827,0.26907847161488546
half_normal,0.5,27,211,x_6*x_15*,PRODUCT,True,0.4445989727973938,0.272256135515804
half_normal,0.5,28,221,x_6*x_25*,PRODUCT,True,0.442656546831131,0.27543560435323367
half_normal,0.5,29,350,x_12*x_25*,PRODUCT,True,0.4411974847316742,0.277823876831913
half_normal,0.5,30,12,x_12,LINEAR,False,0.43898358941078186,0.2814477015255519
exponential,0.5,1,267,x_8*x_24*,PRODUCT,True,0.49670925736427307,0.1880537957571141
exponential,0.5,2,498,x_23*x_30,PRODUCT,False,0.46691861748695374,0.23675109022412072
exponential,0.5,3,463,x_20*x_22,PRODUCT,False,0.45425835251808167,0.2574462029762597
exponential,0.5,4,332,x_11*x_26*,PRODUCT,True,0.44704338908195496,0.26924014900980037
exponential,0.5,5,300,x_10*x_14,PRODUCT,False,0.437773734331131,0.28439279792460376
exponential,0.5,6,106,x_2*x_16*,PRODUCT,True,0.4297628104686737,0.2974878613367817
exponential,0.5,7,163,x_4*x_18,PRODUCT,False,0.4262098968029022,0.3032956346410956
exponential,0.5,8,339,x_12*x_14*,PRODUCT,True,0.4229263961315155,0.3086630117681263
exponential,0.5,9,209,x_6*x_13*,PRODUCT,True,0.420023649930954,0.31340798828000543
exponential,0.5,10,288,x_9*x_23*,PRODUCT,True,0.4174919128417969,0.31754649443668553
exponential,0.5,11,482,x_21*x_31*,PRODUCT,True,0.4148784577846527,0.3218185809382894
exponential,0.5,12,429,x_17*x_24*,PRODUCT,True,0.41249045729637146,0.3257221279397663
exponential,0.5,13,24,x_24,LINEAR,False,0.4093940556049347,0.33078366356226335
exponential,0.5,14,17,x_17,LINEAR,False,0.4044661521911621,0.33883906501163447
exponential,0.5,15,271,x_8*x_28*,PRODUCT,True,0.40213218331336975,0.34265428919569824
exponential,0.5,16,305,x_10*x_19*,PRODUCT,True,0.4000242054462433,0.34610009698459177
exponential,0.5,17,73,x_1*x_12*,PRODUCT,True,0.3976120352745056,0.3500431529794068
exponential,0.5,18,46,x_0*x_15*,PRODUCT,True,0.39548686146736145,0.3535170701260761
exponential,0.5,19,273,x_8*x_30*,PRODUCT,True,0.39364638924598694,0.35652559958672914
exponential,0.5,20,8,x_8,LINEAR,False,0.39058616757392883,0.3615279935101972
exponential,0.5,21,30,x_30,LINEAR,False,0.38769882917404175,0.36624778364777816
exponential,0.5,22,14,x_14,LINEAR,False,0.38601815700531006,0.36899509581832135
exponential,0.5,23,386,x_14*x_26*,PRODUCT,True,0.3831794559955597,0.3736353808053131
exponential,0.5,24,431,x_17*x_26*,PRODUCT,True,0.3791055381298065,0.3802948140622007
exponential,0.5,25,377,x_14*x_17*,PRODUCT,True,0.3766894042491913,0.3842443493370576
exponential,0.5,26,26,x_26,LINEAR,False,0.3747195601463318,0.38746435665231094
exponential,0.5,27,259,x_8*x_16*,PRODUCT,True,0.3729442358016968,0.3903663920815988
exponential,0.5,28,16,x_16,LINEAR,False,0.3698759973049164,0.39538189071432456
exponential,0.5,29,257,x_8*x_14*,PRODUCT,True,0.36727944016456604,0.3996263550220656
exponential,0.5,30,416,x_16*x_25*,PRODUCT,True,0.36543506383895874,0.40264126632997793
chi2,0.5,1,267,x_8*x_24*,PRODUCT,True,0.551524817943573,0.09323942325915767
chi2,0.5,2,471,x_20*x_30*,PRODUCT,True,0.5252607464790344,0.13642011760677678
chi2,0.5,3,288,x_9*x_23*,PRODUCT,True,0.5100900530815125,0.16136221676015144
chi2,0.5,4,365,x_13*x_22*,PRODUCT,True,0.5001542568206787,0.1776976345958269
chi2,0.5,5,207,x_6*x_11*,PRODUCT,True,0.49389296770095825,0.18799180441126348
chi2,0.5,6,106,x_2*x_16*,PRODUCT,True,0.48907843232154846,0.1959073700129178
chi2,0.5,7,391,x_14*x_31*,PRODUCT,True,0.48379138112068176,0.20459979769737197
chi2,0.5,8,31,x_31,LINEAR,False,0.47780510783195496,0.21444181467142875
chi2,0.5,9,14,x_14,LINEAR,False,0.47037506103515625,0.22665753606688177
chi2,0.5,10,279,x_9*x_14*,PRODUCT,True,0.46583202481269836,0.23412673058217176
chi2,0.5,11,431,x_17*x_26*,PRODUCT,True,0.4622233808040619,0.24005969319068013
chi2,0.5,12,386,x_14*x_26*,PRODUCT,True,0.4583339989185333,0.2464542162419494
chi2,0.5,13,303,x_10*x_17*,PRODUCT,True,0.4542056620121002,0.2532416046467279
chi2,0.5,14,444,x_18*x_26*,PRODUCT,True,0.4504382312297821,0.2594356281935622
chi2,0.5,15,10,x_10,LINEAR,False,0.44731536507606506,0.26456992464315304
chi2,0.5,16,305,x_10*x_19*,PRODUCT,True,0.4431884288787842,0.2713550101455101
chi2,0.5,17,19,x_19,LINEAR,False,0.43998703360557556,0.27661841612447197
chi2,0.5,18,150,x_4*x_5*,PRODUCT,True,0.4375975728034973,0.2805469226657928
chi2,0.5,19,181,x_5*x_10*,PRODUCT,True,0.43444716930389404,0.28572649319703025
chi2,0.5,20,295,x_9*x_30*,PRODUCT,True,0.4322887361049652,0.2892751678325886
chi2,0.5,21,429,x_17*x_24*,PRODUCT,True,0.43040019273757935,0.29238011726967106
chi2,0.5,22,377,x_14*x_17*,PRODUCT,True,0.4280930757522583,0.29617324254736677
chi2,0.5,23,393,x_15*x_17*,PRODUCT,True,0.4261612892150879,0.2993492879719701
chi2,0.5,24,406,x_15*x_30*,PRODUCT,True,0.4238399863243103,0.3031657362614231
chi2,0.5,25,482,x_21*x_31*,PRODUCT,True,0.4218486249446869,0.30643972853582246
chi2,0.5,26,264,x_8*x_21*,PRODUCT,True,0.41979703307151794,0.30981274561434285
chi2,0.5,27,257,x_8*x_14*,PRODUCT,True,0.41763991117477417,0.31335926434125133
chi2,0.5,28,202,x_5*x_31*,PRODUCT,True,0.4156639873981476,0.3166078756910912
chi2,0.5,29,331,x_11*x_25*,PRODUCT,True,0.41382506489753723,0.3196312435849468
chi2,0.5,30,199,x_5*x_28*,PRODUCT,True,0.4120020866394043,0.3226283975895373
