mode,rho,out_rate,Stot,Strue,Sdir,Sint,Itrue,Idir,Iint,phi_direct,phi_int,nll_direct,nll_int,nll_true,nll_gap
binary,0.0,0.1499439924955368,0.6097002029418945,0.1991155743598938,0.591450035572052,0.19845910370349884,0.41058462858200073,0.01825016736984253,0.4112410992383957,0.04444922215639561,1.0015988680790662,0.5905482769012451,0.19751302897930145,0.1971016228199005,0.39303524792194366
binary,0.1,0.15001100301742554,0.6098678112030029,0.18838921189308167,0.5645591616630554,0.1874903291463852,0.42147859930992126,0.04530864953994751,0.42237748205661774,0.1074992884908759,1.0021326889388174,0.5643224716186523,0.18900151550769806,0.188678577542305,0.3753209561109543
binary,0.2,0.15059100091457367,0.6113173365592957,0.17785491049289703,0.5351371169090271,0.17699837684631348,0.4334624260663986,0.07618021965026855,0.4343189597129822,0.17574815040277358,1.0019760274364642,0.5349791049957275,0.17795215547084808,0.17754969000816345,0.35702694952487946
binary,0.3,0.1504179984331131,0.6108853816986084,0.16678676009178162,0.5013135075569153,0.166966050863266,0.4440986216068268,0.10957187414169312,0.4439193308353424,0.24672869675938836,0.9995962816303378,0.5009415149688721,0.1676570028066635,0.1673506498336792,0.33328451216220856
binary,0.5,0.1499049961566925,0.6096024513244629,0.13655367493629456,0.4130121171474457,0.13613568246364594,0.47304877638816833,0.1965903341770172,0.47346676886081696,0.41558152983298624,1.0008836138967319,0.4110642969608307,0.13667480647563934,0.1362505406141281,0.27438949048519135
binary,0.7,0.15017999708652496,0.61029052734375,0.09440533071756363,0.2946280241012573,0.09322361648082733,0.5158851966261864,0.3156625032424927,0.5170669108629227,0.6118851738853512,1.0022906535106348,0.2948782742023468,0.09468226879835129,0.09437841922044754,0.20019600540399551
binary,0.9,0.15043999254703522,0.6109402775764465,0.03223478049039841,0.12619483470916748,0.03206127509474754,0.5787054970860481,0.48474544286727905,0.578879002481699,0.8376375294655304,1.0002998163945642,0.12561355531215668,0.03272457420825958,0.03227119892835617,0.0928889811038971
gaussian,0.0,0.1499210000038147,0.6096426248550415,0.03325996175408363,0.6097540855407715,0.03292052447795868,0.5763826631009579,-0.00011146068572998047,0.5767221003770828,-0.00019337966400709953,1.0005889095870768,0.6096527576446533,0.03324095532298088,0.03285752236843109,0.5764118023216724
gaussian,0.1,0.15051400661468506,0.611125111579895,0.03228988125920296,0.6096513271331787,0.0318988561630249,0.5788352303206921,0.0014737844467163086,0.5792262554168701,0.002546120846686868,1.0006755378313124,0.6111549735069275,0.03265003487467766,0.03231331333518028,0.5785049386322498
gaussian,0.2,0.15040799975395203,0.6108604073524475,0.02992943860590458,0.6099005937576294,0.029717562720179558,0.5809309687465429,0.0009598135948181152,0.581142844632268,0.0016521990502401272,1.0003647178358939,0.6108881235122681,0.03060327284038067,0.030172785744071007,0.5802848506718874
gaussian,0.3,0.1506190001964569,0.6113871932029724,0.02710057608783245,0.60976642370224,0.026778096333146095,0.58428661711514,0.0016207695007324219,0.5846090968698263,0.0027739288446050987,1.0005519204877198,0.6114292740821838,0.027665376663208008,0.027228113263845444,0.5837638974189758
gaussian,0.5,0.15104299783706665,0.6124442219734192,0.020867081359028816,0.6097055673599243,0.02066768892109394,0.5915771406143904,0.002738654613494873,0.5917765330523252,0.004629412506795997,1.000337052303488,0.6124772429466248,0.021515490487217903,0.021107099950313568,0.5909617524594069
gaussian,0.7,0.1782120019197464,0.6761499047279358,0.020173199474811554,0.6771832704544067,0.019952313974499702,0.6559767052531242,-0.0010333657264709473,0.6561975907534361,-0.001575308571471602,1.00033672765899,0.6761640310287476,0.020561136305332184,0.02019878476858139,0.6556028947234154
gaussian,0.9,0.21832500398159027,0.7570972442626953,0.021155277267098427,0.755855143070221,0.02090059407055378,0.7359419669955969,0.0012421011924743652,0.7361966501921415,0.001687770569118525,1.000346064238712,0.7571125030517578,0.021432265639305115,0.021051254123449326,0.7356802374124527
lognormal,0.0,0.15004399418830872,0.6099503636360168,0.04157975688576698,0.5691535472869873,0.04155633971095085,0.5683706067502499,0.04079681634902954,0.568394023925066,0.07177854706859646,1.000041200538061,0.5698095560073853,0.04175281524658203,0.04128504544496536,0.5280567407608032
lognormal,0.1,0.14987200498580933,0.609519898891449,0.04091649875044823,0.5471967458724976,0.040225718170404434,0.5686034001410007,0.062323153018951416,0.5692941807210445,0.10960742233250222,1.0012148724046892,0.5469825267791748,0.042001985013484955,0.04150211811065674,0.5049805417656898
lognormal,0.2,0.15039099752902985,0.6108178496360779,0.04236588254570961,0.5252028703689575,0.041734788566827774,0.5684519670903683,0.08561497926712036,0.5690830610692501,0.15061075380799926,1.0011101975459986,0.523616373538971,0.042540520429611206,0.042082443833351135,0.48107585310935974
lognormal,0.3,0.1506129950284958,0.6113722324371338,0.04459642618894577,0.502329409122467,0.04433884471654892,0.566775806248188,0.10904282331466675,0.5670333877205849,0.19239145727917237,1.0004544680093208,0.5055832266807556,0.04534832760691643,0.04484524950385094,0.4602348990738392
lognormal,0.5,0.15052799880504608,0.6111600399017334,0.05056179687380791,0.46563920378685,0.050098858773708344,0.5605982430279255,0.14552083611488342,0.561061181128025,0.25958132749202084,1.0008257929914284,0.4653990566730499,0.05124028027057648,0.0508120059967041,0.41415877640247345
lognormal,0.7,0.14944100379943848,0.6084396243095398,0.053261592984199524,0.42724376916885376,0.053250767290592194,0.5551780313253403,0.18119585514068604,0.5551888570189476,0.326374324841581,1.0000194994992535,0.42771318554878235,0.05339134857058525,0.05291050300002098,0.3743218369781971
lognormal,0.9,0.15017199516296387,0.6102705597877502,0.051997195929288864,0.37417352199554443,0.05167802423238754,0.5582733638584614,0.2360970377922058,0.5585925355553627,0.422905789666267,1.0005717122068933,0.3736652433872223,0.05222943797707558,0.051812514662742615,0.3214358054101467
